elapsed_s,cpu_percent,rss_mb,vms_mb,threads,read_mb,write_mb,system_cpu_percent,system_memory_percent
5.245208740234375e-06,99.8,8.625,401125.0625,3,0.0,0.0,62.5,57.2
0.5098302364349365,30.3,124.171875,814584.875,50,0.0,0.0,29.1,57.2
1.017430067062378,2.1,137.6875,815105.703125,50,0.0,0.0,15.7,57.0
1.5270872116088867,0.2,147.1875,815113.3125,50,0.0,0.0,13.6,57.0
2.0365371704101562,0.2,158.15625,815124.484375,50,0.0,0.0,17.3,56.9
2.5432140827178955,0.2,146.984375,815128.359375,55,0.0,0.0,13.9,56.9
3.051710367202759,0.1,152.40625,815135.96875,55,0.0,0.0,11.4,57.0
3.5561110973358154,0.4,159.796875,815147.625,55,0.0,0.0,18.0,57.0
4.065330266952515,0.3,165.59375,815155.234375,55,0.0,0.0,11.0,57.0
4.574571132659912,0.6,171.734375,815164.375,55,0.0,0.0,12.2,57.0
5.081475257873535,0.2,178.109375,815174.015625,55,0.0,0.0,10.5,57.0
5.590919256210327,0.1,187.203125,815180.53125,53,0.0,0.0,11.0,57.0
6.100340127944946,0.1,198.109375,815192.1875,53,0.0,0.0,11.6,57.0
6.609580039978027,0.2,207.234375,815199.796875,53,0.0,0.0,11.4,57.0
7.114140272140503,0.5,161.0625,815124.203125,53,0.0,0.0,11.3,56.9
7.623592376708984,0.2,167.515625,815133.84375,53,0.0,0.0,11.5,57.0
8.133027076721191,0.2,173.03125,815141.453125,53,0.0,0.0,10.8,57.0
8.639922380447388,0.1,178.515625,815149.0625,53,0.0,0.0,11.4,57.0
9.149150371551514,1.5,122.125,814956.390625,49,0.0,0.0,13.7,56.9
9.658404111862183,0.2,136.40625,814968.15625,49,0.0,0.0,12.2,56.9
10.167672157287598,0.5,145.59375,814975.765625,49,0.0,0.0,11.3,56.9
10.67460823059082,0.4,155.421875,814984.90625,49,0.0,0.0,17.5,56.9
11.18383526802063,0.1,145.734375,814988.8125,54,0.0,0.0,11.0,56.9
11.693094253540039,0.1,151.203125,814996.421875,54,0.0,0.0,12.8,56.9
12.202481269836426,0.1,156.734375,815004.03125,54,0.0,0.0,16.3,56.9
12.71171522140503,0.1,164.328125,815015.6875,54,0.0,0.0,10.7,57.0
13.220929145812988,0.1,169.921875,815023.296875,54,0.0,0.0,11.2,57.0
13.730127096176147,0.3,176.78125,815034.46875,54,0.0,0.0,10.3,57.0
14.234873294830322,0.1,185.453125,815041.53125,53,0.0,0.0,11.8,57.0
14.744331121444702,0.1,194.5625,815049.140625,53,0.0,0.0,11.4,57.0
15.253734350204468,0.1,206.0625,815060.796875,53,0.0,0.0,10.4,57.1
15.763138055801392,0.2,215.25,815068.40625,53,0.0,0.0,11.6,57.1
16.267717123031616,0.2,166.109375,815001.8125,53,0.0,0.0,11.3,57.0
16.77720022201538,0.4,172.75,815011.453125,53,0.0,0.0,10.5,57.0
17.283489227294922,0.1,178.21875,815019.0625,53,0.0,0.0,13.0,57.0
17.788998126983643,6.1,130.65625,814828.390625,49,0.0,0.0,18.7,57.0
18.29825520515442,0.0,135.90625,814832.4375,49,0.0,0.0,11.9,56.9
18.807509183883667,0.0,138.703125,814832.4375,49,0.0,0.0,17.3,57.0
19.313782215118408,0.0,145.515625,814840.515625,49,0.0,0.0,15.3,57.0
19.823244094848633,0.2,153.671875,814848.234375,49,0.0,0.0,12.7,57.0
20.332486152648926,0.0,156.453125,814848.234375,49,0.0,0.0,14.3,57.0
20.838406324386597,0.0,163.265625,814856.3125,49,0.0,0.0,11.1,57.0
21.347817420959473,0.1,168.53125,814859.875,49,0.0,0.0,11.0,57.0
21.857033252716064,0.0,148.625,814857.21875,54,0.0,0.0,10.7,57.0
22.36623215675354,0.0,150.234375,814857.21875,54,0.0,0.0,11.2,57.0
22.875439167022705,0.1,157.0,814868.859375,54,0.0,0.0,10.9,57.0
23.38463306427002,0.0,160.609375,814872.359375,53,0.0,0.0,11.8,57.0
23.89387607574463,0.0,161.796875,814872.359375,53,0.0,0.0,11.6,57.0
24.40310311317444,0.0,167.015625,814880.4375,53,0.0,0.0,15.2,57.0
24.912631034851074,0.1,172.421875,814888.046875,53,0.0,0.0,13.5,57.0
25.42189621925354,0.0,173.734375,814888.046875,53,0.0,0.0,10.8,57.0
25.931161165237427,0.0,178.96875,814896.125,53,0.0,0.0,11.4,57.1
26.440352201461792,0.1,181.953125,814899.6875,53,0.0,0.0,11.2,57.1
26.94955015182495,0.0,185.171875,814903.734375,53,0.0,0.0,11.8,57.1
27.458811283111572,0.0,190.40625,814911.8125,53,0.0,0.0,12.0,57.0
27.967992067337036,0.1,195.796875,814915.375,53,0.0,0.0,11.0,57.1
28.4771831035614,0.0,200.609375,814919.421875,53,0.0,0.0,11.0,57.1
28.986411094665527,0.0,203.390625,814919.421875,53,0.0,0.0,12.2,57.1
29.4955792427063,0.0,210.203125,814927.5,53,0.0,0.0,10.9,57.1
30.00477123260498,0.2,217.671875,814935.109375,53,0.0,0.0,11.2,57.1
30.514137268066406,0.0,220.453125,814935.109375,53,0.0,0.0,11.0,57.1
31.02085304260254,0.0,227.234375,814943.1875,53,0.0,0.0,12.0,57.1
31.530311346054077,0.2,232.6875,814946.75,53,0.0,0.0,17.6,57.2
32.03966212272644,0.0,167.375,814857.671875,53,0.0,0.0,12.4,57.0
32.54889440536499,0.0,168.859375,814857.671875,53,0.0,0.0,11.8,57.0
33.05420231819153,0.2,176.015625,814869.3125,53,0.0,0.0,16.9,57.0
33.5618622303009,0.0,179.515625,814873.359375,53,0.0,0.0,11.2,57.1
34.071309089660645,0.0,180.703125,814873.359375,53,0.0,0.0,10.6,57.1
34.580719232559204,0.0,185.9375,814881.4375,53,0.0,0.0,12.7,57.1
35.08991837501526,0.3,188.953125,814885.0,53,0.0,0.0,10.5,57.1
35.59689235687256,0.0,192.1875,814889.046875,53,0.0,0.0,11.6,57.1
36.10184121131897,0.0,197.421875,814897.125,53,0.0,0.0,11.2,57.1
36.61177110671997,0.1,200.46875,814900.6875,53,0.0,0.0,11.1,57.1
37.1212363243103,0.0,203.6875,814904.734375,53,0.0,0.0,11.1,57.1
37.63048028945923,0.0,204.875,814904.734375,53,0.0,0.0,11.5,57.2
38.1397430896759,0.2,210.390625,814923.34375,53,0.0,0.0,10.8,57.2
38.646082162857056,0.2,215.625,814929.421875,53,0.0,0.0,18.1,57.2
39.155577182769775,0.0,216.8125,814929.421875,53,0.0,0.0,11.0,57.2
39.66152501106262,0.0,222.046875,814937.5,53,0.0,0.0,11.4,57.2
40.16947412490845,0.1,225.046875,814941.0625,53,0.0,0.0,10.5,57.2
40.67891526222229,0.0,228.265625,814945.109375,53,0.0,0.0,13.3,57.2
41.18836212158203,0.0,229.453125,814945.109375,53,0.0,0.0,11.2,57.2
41.695860147476196,0.2,236.296875,814956.75,53,0.0,0.0,10.9,57.2
42.20445013046265,0.0,239.875,814960.796875,53,0.0,0.0,13.0,57.0
42.713818311691284,0.0,241.0625,814960.796875,53,0.0,0.0,11.8,57.0
43.223180055618286,0.0,246.390625,814968.875,53,0.0,0.0,11.9,56.9
43.72993731498718,0.1,251.90625,814972.4375,53,0.0,0.0,11.3,56.9
44.23607134819031,0.0,256.671875,814976.484375,53,0.0,0.0,10.9,56.8
44.7425332069397,0.0,263.484375,814984.5625,53,0.0,0.0,11.8,56.8
45.251615047454834,0.1,268.921875,814988.125,53,0.0,0.0,10.5,56.8
45.7601432800293,0.0,273.6875,814992.171875,53,0.0,0.0,17.5,56.8
46.26724815368652,0.0,276.4375,814992.171875,53,0.0,0.0,11.3,56.8
46.77651309967041,0.1,285.28125,815003.8125,53,0.0,0.0,11.4,56.8
47.285773038864136,0.0,290.890625,815007.859375,53,0.0,0.0,11.0,56.8
47.79499816894531,0.0,293.640625,815007.859375,53,0.0,0.0,12.9,56.9
48.30424618721008,0.0,300.46875,815015.9375,53,0.0,0.0,10.5,56.9
48.81346106529236,0.1,308.015625,815023.546875,53,0.0,0.0,10.4,56.9
49.322641134262085,0.0,310.78125,815023.546875,53,0.0,0.0,11.6,56.9
49.83105516433716,0.0,317.578125,815031.625,53,0.0,0.0,17.8,57.0
50.33922100067139,0.1,322.890625,815035.1875,53,0.0,0.0,13.2,57.1
50.8482780456543,0.0,327.703125,815039.234375,53,0.0,0.0,11.4,57.0
51.357317209243774,0.0,334.5,815047.3125,53,0.0,0.0,12.8,57.1
51.86639428138733,0.9,121.40625,814965.40625,50,0.0,0.0,12.6,56.6
52.37576913833618,0.0,137.734375,814969.4375,49,0.0,0.0,14.6,56.6
52.885152101516724,0.0,140.5,814969.4375,49,0.0,0.0,15.1,56.6
53.39421725273132,0.0,147.328125,814977.515625,49,0.0,0.0,13.0,56.6
53.90327334403992,0.6,155.578125,814983.234375,50,0.0,0.0,12.6,56.7
54.412124156951904,0.0,160.390625,814987.28125,50,0.0,0.0,10.8,56.6
54.921189308166504,0.0,167.1875,814993.3125,49,0.0,0.0,11.4,56.6
55.42814517021179,0.1,172.4375,814996.875,49,0.0,0.0,11.3,56.7
55.935142278671265,0.0,152.890625,814994.21875,54,0.0,0.0,11.1,56.6
56.44439506530762,0.0,154.53125,814994.21875,54,0.0,0.0,12.2,56.7
56.95365810394287,0.0,159.765625,815002.296875,54,0.0,0.0,11.1,56.6
57.46292209625244,0.1,164.90625,815009.359375,53,0.0,0.0,12.7,56.7
57.97217631340027,0.0,166.109375,815009.359375,53,0.0,0.0,11.0,56.7
58.47685718536377,0.0,171.328125,815017.4375,53,0.0,0.0,11.2,56.7
58.984254360198975,0.6,174.578125,815021.0,53,0.0,0.0,11.0,56.7
59.493319272994995,0.0,178.015625,815025.046875,53,0.0,0.0,15.2,56.7
60.002477169036865,0.0,183.25,815033.125,53,0.0,0.0,13.2,56.6
60.510701179504395,0.3,186.25,815036.6875,53,0.0,0.0,11.1,56.6
61.01795029640198,0.0,189.46875,815040.734375,53,0.0,0.0,11.7,56.6
61.527013301849365,0.0,190.65625,815040.734375,53,0.0,0.0,10.8,56.6
62.033573150634766,0.0,196.90625,815048.8125,53,0.0,0.0,11.8,56.6
62.54261302947998,0.2,204.46875,815056.421875,53,0.0,0.0,10.8,56.6
63.051642179489136,0.0,207.265625,815056.421875,53,0.0,0.0,11.2,56.6
63.56067109107971,0.0,214.09375,815064.5,53,0.0,0.0,11.0,56.6
64.0696792602539,0.1,219.46875,815068.0625,53,0.0,0.0,11.2,56.6
64.5786862373352,0.0,224.296875,815072.109375,53,0.0,0.0,11.0,56.7
65.08765316009521,0.0,231.109375,815080.1875,53,0.0,0.0,12.1,56.7
65.59664511680603,0.3,237.0625,815083.75,53,0.0,0.0,11.4,56.7
66.10567021369934,0.0,172.171875,815002.671875,53,0.0,0.0,11.8,56.6
66.61473727226257,0.0,173.65625,815002.671875,53,0.0,0.0,17.6,56.5
67.12414121627808,0.0,178.890625,815010.75,53,0.0,0.0,10.9,56.5
67.63293528556824,0.1,183.96875,815018.359375,53,0.0,0.0,11.8,56.5
68.14220428466797,0.0,185.15625,815018.359375,53,0.0,0.0,10.4,56.6
68.65142917633057,0.0,190.40625,815026.4375,53,0.0,0.0,11.0,56.6
69.16044521331787,0.1,193.453125,815030.0,53,0.0,0.0,10.7,56.6
69.66945624351501,0.0,196.671875,815034.046875,53,0.0,0.0,11.4,56.6
70.17851328849792,0.0,197.875,815034.046875,53,0.0,0.0,11.0,56.6
70.68752121925354,0.2,204.734375,815045.6875,53,0.0,0.0,10.8,56.6
71.19427609443665,0.0,208.234375,815049.734375,53,0.0,0.0,11.2,56.6
71.7032961845398,0.0,209.4375,815049.734375,53,0.0,0.0,10.7,56.6
72.21230626106262,0.0,214.671875,815057.8125,53,0.0,0.0,11.6,56.6
72.72131824493408,0.1,217.984375,815061.375,53,0.0,0.0,11.8,56.6
73.23033213615417,0.0,221.21875,815065.421875,53,0.0,0.0,11.3,56.6
73.73935413360596,0.0,226.453125,815073.5,53,0.0,0.0,17.0,56.7
74.24859523773193,0.7,229.46875,815077.0625,53,0.0,0.0,11.2,56.6
74.75782418251038,0.0,232.703125,815081.109375,53,0.0,0.0,11.6,56.7
75.26329326629639,0.0,233.890625,815081.109375,53,0.0,0.0,11.1,56.7
75.7723240852356,0.2,239.546875,815090.71875,53,0.0,0.0,11.3,56.7
76.27938413619995,0.0,244.203125,815096.796875,53,0.0,0.0,11.0,56.7
76.78835105895996,0.0,245.40625,815096.796875,53,0.0,0.0,10.8,56.7
77.29567408561707,0.0,250.640625,815104.875,53,0.0,0.0,11.1,56.7
77.80488324165344,0.1,255.9375,815108.4375,53,0.0,0.0,11.0,56.7
78.31392121315002,0.0,260.75,815112.484375,53,0.0,0.0,10.4,56.7
78.82295227050781,0.0,267.578125,815120.5625,53,0.0,0.0,11.0,56.7
79.33196115493774,0.1,273.046875,815124.125,53,0.0,0.0,12.8,56.8
79.83631896972656,0.0,277.828125,815128.171875,53,0.0,0.0,15.6,56.7
80.34546518325806,0.0,280.625,815128.171875,53,0.0,0.0,12.6,56.8
80.85457110404968,0.1,288.0,815137.78125,53,0.0,0.0,18.0,56.7
81.36358404159546,0.0,295.03125,815143.859375,53,0.0,0.0,10.6,56.7
81.87267112731934,0.0,297.8125,815143.859375,53,0.0,0.0,10.8,56.8
82.381667137146,0.0,304.625,815151.9375,53,0.0,0.0,11.0,56.8
82.89068531990051,0.1,310.109375,815155.5,53,0.0,0.0,11.2,56.8
83.39970517158508,0.0,314.90625,815159.546875,53,0.0,0.0,10.8,56.8
83.90870308876038,0.0,321.75,815167.625,53,0.0,0.0,12.0,56.8
84.41503429412842,0.1,327.109375,815171.1875,53,0.0,0.0,10.7,56.8
84.92277932167053,0.0,331.921875,815175.234375,53,0.0,0.0,11.2,56.9
85.43198728561401,0.0,334.703125,815175.234375,53,0.0,0.0,10.6,56.9
85.94101238250732,2.7,111.828125,814959.78125,48,0.0,0.0,12.0,56.9
86.44841504096985,2.0,165.375,814995.9375,49,0.0,0.0,13.9,56.5
86.95738315582275,0.3,170.859375,815022.640625,54,0.0,0.0,11.1,56.5
87.4658203125,0.3,193.28125,815057.125,54,0.0,0.0,17.8,56.7
87.97097110748291,0.6,226.5,815095.171875,54,0.0,0.0,18.9,56.7
88.48022818565369,2.4,152.34375,814982.765625,50,0.0,0.0,14.3,56.5
88.98950505256653,0.3,162.890625,815007.421875,54,0.0,0.0,10.7,56.5
89.49447703361511,0.7,184.859375,815041.90625,54,0.0,0.0,13.4,56.6
90.00369834899902,0.6,215.515625,815079.953125,54,0.0,0.0,12.3,56.6
90.5129222869873,3.6,139.09375,815015.765625,57,0.0,0.0,13.9,56.5
91.02216339111328,0.1,159.328125,815033.5625,56,0.0,0.0,12.6,56.6
91.5312511920929,0.2,177.5,815049.25,56,0.0,0.0,11.4,56.6
92.04030418395996,0.0,168.828125,815062.265625,61,0.0,0.0,11.2,56.6
92.54556703567505,0.1,184.328125,815085.5625,61,0.0,0.0,11.0,56.6
93.05499315261841,0.1,195.984375,815101.25,61,0.0,0.0,13.1,56.6
93.56426906585693,0.1,216.015625,815125.015625,61,0.0,0.0,11.8,56.6
94.07352805137634,0.1,236.4375,815144.265625,61,0.0,0.0,11.4,56.7
94.58260130882263,0.1,177.03125,815053.578125,61,0.0,0.0,16.2,56.5
95.08833312988281,0.1,188.75,815069.265625,61,0.0,0.0,14.2,56.5
95.59759998321533,0.1,204.359375,815093.03125,61,0.0,0.0,11.2,56.6
96.1068480014801,0.2,217.71875,815111.734375,60,0.0,0.0,10.8,56.6
96.61607336997986,0.1,231.65625,815131.46875,60,0.0,0.0,10.6,56.7
97.12354040145874,0.1,243.46875,815147.15625,60,0.0,0.0,11.3,56.7
97.62786412239075,0.1,261.625,815174.484375,60,0.0,0.0,10.4,56.7
98.13261818885803,0.0,282.109375,815194.21875,60,0.0,0.0,11.6,56.8
98.64182925224304,1.0,141.59375,815021.859375,58,0.0,0.0,13.2,56.5
99.1496193408966,0.2,162.75,815035.609375,57,0.0,0.0,12.5,56.5
99.65869617462158,0.1,184.484375,815057.328125,56,0.0,0.0,10.9,56.5
100.16773509979248,0.2,172.75,815064.828125,61,0.0,0.0,11.7,56.5
