benchmark,metric,mode,score,scoreError,scoreUnit,bucketCapacity,n,seed
bench.ExtendableHashTableBenchmark.putThenRemove,async,avgt,NaN,NaN,---,12,170000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,avgt,0.0223142021968192,0.0003006594452126778,us/op,12,200000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,avgt,NaN,NaN,---,12,200000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,avgt,0.0240255404746828,0.00027698589605760907,us/op,16,80000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,avgt,NaN,NaN,---,16,80000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,avgt,0.026427296326283434,0.0003791709660109134,us/op,16,100000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,avgt,NaN,NaN,---,16,100000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,avgt,0.028541890031891625,0.0003346039284442059,us/op,16,140000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,avgt,NaN,NaN,---,16,140000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,avgt,0.02718522097068743,0.00030666122574140805,us/op,16,170000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,avgt,NaN,NaN,---,16,170000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,avgt,0.027914785290191382,0.0003315507441313807,us/op,16,200000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,avgt,NaN,NaN,---,16,200000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,avgt,0.03327469111903651,0.0001811187262975041,us/op,24,80000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,avgt,NaN,NaN,---,24,80000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,avgt,0.02687445085280493,0.00029419344802865497,us/op,24,100000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,avgt,NaN,NaN,---,24,100000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,avgt,0.03373824601287193,0.00026996756610935506,us/op,24,140000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,avgt,NaN,NaN,---,24,140000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,avgt,0.03582445770425441,0.00025444291267165447,us/op,24,170000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,avgt,NaN,NaN,---,24,170000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,avgt,0.028472960572729383,0.0003713668683824345,us/op,24,200000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,avgt,NaN,NaN,---,24,200000,42
