benchmark,metric,mode,score,scoreError,scoreUnit,bucketCapacity,n,seed
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,12,150000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.013491923457154366,0.00015052106955451235,us/op,12,200000,42
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,12,200000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.012794226864826114,0.00018243907517915398,us/op,12,250000,42
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,12,250000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.01086021503200827,0.00013642671542681852,us/op,12,300000,42
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,12,300000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.013446997102559588,0.00013787854023092862,us/op,12,350000,42
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,12,350000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.010306126492532416,0.00010457544156436791,us/op,16,150000,42
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,16,150000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.01328214609097766,0.00011634941372453561,us/op,16,200000,42
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,16,200000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.014423613132287015,0.0001522646453340893,us/op,16,250000,42
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,16,250000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.01117301333025837,0.00013603180267366056,us/op,16,300000,42
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,16,300000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.013686221239300649,0.00021248365134283602,us/op,16,350000,42
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,16,350000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.014932135929174728,9.356436858146216e-05,us/op,24,150000,42
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,24,150000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.019495757010136564,0.00018402282611219557,us/op,24,200000,42
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,24,200000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.014656011597115796,0.0001643513467801713,us/op,24,250000,42
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,24,250000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.016339621285607526,0.00011223355245049085,us/op,24,300000,42
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,24,300000,42
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.018682426243309652,0.0002005619201475832,us/op,24,350000,42
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,24,350000,42
