benchmark,metric,mode,score,scoreError,scoreUnit,bucketCapacity,n,seed
bench.ExtendableHashTableBenchmark.updateExisting,primary,avgt,0.030382372358028483,0.0003285867768444938,us/op,12,200000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,avgt,NaN,NaN,---,12,200000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,avgt,0.022952110937722786,0.00046949765013252847,us/op,16,80000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,avgt,NaN,NaN,---,16,80000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,avgt,0.027997378001121575,0.0004206886775241602,us/op,16,100000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,avgt,NaN,NaN,---,16,100000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,avgt,0.03114943759991297,0.00033860660240872314,us/op,16,140000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,avgt,NaN,NaN,---,16,140000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,avgt,0.02852111476569195,0.0004064847321125205,us/op,16,170000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,avgt,NaN,NaN,---,16,170000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,avgt,0.031286600187862244,0.0003323795849033895,us/op,16,200000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,avgt,NaN,NaN,---,16,200000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,avgt,0.03083033015069965,0.00038596924971226893,us/op,24,80000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,avgt,NaN,NaN,---,24,80000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,avgt,0.03305489054987215,0.00036360463585308135,us/op,24,100000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,avgt,NaN,NaN,---,24,100000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,avgt,0.03273748626676663,0.00026614656323097877,us/op,24,140000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,avgt,NaN,NaN,---,24,140000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,avgt,0.0349615860834394,0.00025106134400213094,us/op,24,170000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,avgt,NaN,NaN,---,24,170000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,avgt,0.03565970033380227,0.0002593283431769086,us/op,24,200000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,avgt,NaN,NaN,---,24,200000,42
