benchmark,metric,mode,score,scoreError,scoreUnit,bucketCapacity,n,seed
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.014803510455481573,0.0001216335304702367,us/op,16,150000,42
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,16,150000,42
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.018746620182772518,0.0001875208066125334,us/op,16,200000,42
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,16,200000,42
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.019318650662661814,0.00011206651208018797,us/op,16,250000,42
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,16,250000,42
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.018309095064515047,0.0003796451310958005,us/op,16,300000,42
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,16,300000,42
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.01867967687656565,0.0001212849272971196,us/op,16,350000,42
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,16,350000,42
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.018864587460977796,0.000305162628861303,us/op,24,150000,42
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,24,150000,42
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.022896105843696474,0.00031462691443863894,us/op,24,200000,42
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,24,200000,42
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.019869496473756607,0.00013671647581825694,us/op,24,250000,42
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,24,250000,42
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.021568139576869833,0.00017531662014651225,us/op,24,300000,42
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,24,300000,42
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.023298519572871258,0.0002316198975595996,us/op,24,350000,42
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,24,350000,42
