benchmark,bench,mode,score,scoreError,ciLow,ciHigh,unit,rawCount,rawMin,rawMax,gc_alloc_rate_norm_score,gc_alloc_rate_norm_scoreError,gc_alloc_rate_norm_ciLow,gc_alloc_rate_norm_ciHigh,gc_alloc_rate_norm_unit,gc_alloc_rate_score,gc_alloc_rate_scoreError,gc_alloc_rate_ciLow,gc_alloc_rate_ciHigh,gc_alloc_rate_unit,gc_count_score,gc_count_scoreError,gc_count_ciLow,gc_count_ciHigh,gc_count_unit,gc_time_score,gc_time_scoreError,gc_time_ciLow,gc_time_ciHigh,gc_time_unit,bucketCapacity,n,seed,baseDocs,wordsPerDoc,docs,threshold
bench.PerfectHashingBenchmark.getMiss,getMiss,avgt,0.0048121423288645946,,,,us/op,1,0.0048121423288645946,0.0048121423288645946,2.682501331514623e-06,,,,B/op,0.0005314322536367802,,,,MB/sec,0.0,,0.0,0.0,counts,,,,,,,10000.0,42,,,,
bench.PerfectHashingBenchmark.getMiss,getMiss,avgt,0.013227044633808714,,,,us/op,1,0.013227044633808714,0.013227044633808714,7.370068941862224e-06,,,,B/op,0.0005312762093167492,,,,MB/sec,0.0,,0.0,0.0,counts,,,,,,,50000.0,42,,,,
bench.PerfectHashingBenchmark.getMiss,getMiss,thrpt,214.6503282473871,,,,ops/us,1,214.6503282473871,214.6503282473871,2.5957979824855484e-06,,,,B/op,0.0005312426072361348,,,,MB/sec,0.0,,0.0,0.0,counts,,,,,,,10000.0,42,,,,
bench.PerfectHashingBenchmark.getMiss,getMiss,thrpt,77.01447876718183,,,,ops/us,1,77.01447876718183,77.01447876718183,7.261972385935032e-06,,,,B/op,0.0005332433098609044,,,,MB/sec,0.0,,0.0,0.0,counts,,,,,,,50000.0,42,,,,
