benchmark,mode,baseDocs,bucketCapacity,docs,n,seed,threshold,wordsPerDoc,score,scoreError,unit
bench.ExtendableHashTableBenchmark.removeThenPut,thrpt,,8.0,,10000.0,42,,,0.9221826203229507,,ops/us
bench.ExtendableHashTableBenchmark.updateExisting,avgt,,2.0,,1000.0,42,,,0.014502908172653173,,us/op
bench.ExtendableHashTableBenchmark.updateExisting,avgt,,4.0,,1000.0,42,,,0.015237046505771625,,us/op
bench.ExtendableHashTableBenchmark.updateExisting,avgt,,8.0,,1000.0,42,,,0.01762572228809673,,us/op
bench.ExtendableHashTableBenchmark.updateExisting,avgt,,2.0,,10000.0,42,,,0.017748635767617982,,us/op
bench.ExtendableHashTableBenchmark.updateExisting,avgt,,4.0,,10000.0,42,,,0.017488491965453466,,us/op
bench.ExtendableHashTableBenchmark.updateExisting,avgt,,8.0,,10000.0,42,,,0.019389249146088697,,us/op
bench.ExtendableHashTableBenchmark.updateExisting,thrpt,,2.0,,1000.0,42,,,69.04427256503512,,ops/us
bench.ExtendableHashTableBenchmark.updateExisting,thrpt,,4.0,,1000.0,42,,,65.97669258825103,,ops/us
bench.ExtendableHashTableBenchmark.updateExisting,thrpt,,8.0,,1000.0,42,,,57.23226678857439,,ops/us
bench.ExtendableHashTableBenchmark.updateExisting,thrpt,,2.0,,10000.0,42,,,56.21448409031079,,ops/us
bench.ExtendableHashTableBenchmark.updateExisting,thrpt,,4.0,,10000.0,42,,,57.31237231417108,,ops/us
bench.ExtendableHashTableBenchmark.updateExisting,thrpt,,8.0,,10000.0,42,,,49.51896316363726,,ops/us
bench.LshBenchmark.addDocument,avgt,5000.0,,,,42,,12.0,0.022524868332586285,,ms/op
bench.LshBenchmark.addDocument,thrpt,5000.0,,,,42,,12.0,42.6313369761869,,ops/ms
bench.LshBenchmark.buildIndex,avgt,,,2000.0,,42,,12.0,36.926043178571426,,ms/op
bench.LshBenchmark.buildIndex,avgt,,,10000.0,,42,,12.0,197.556375,,ms/op
bench.LshBenchmark.buildIndex,thrpt,,,2000.0,,42,,12.0,0.02653134480681274,,ops/ms
bench.LshBenchmark.buildIndex,thrpt,,,10000.0,,42,,12.0,0.005205141682329986,,ops/ms
bench.LshBenchmark.candidatesQuery,avgt,,,1000.0,,42,0.9,12.0,0.019394780468493522,,ms/op
bench.LshBenchmark.candidatesQuery,avgt,,,3000.0,,42,0.9,12.0,0.021588256128322877,,ms/op
bench.LshBenchmark.candidatesQuery,thrpt,,,1000.0,,42,0.9,12.0,51.428341557538864,,ops/ms
bench.LshBenchmark.candidatesQuery,thrpt,,,3000.0,,42,0.9,12.0,45.56713947230888,,ops/ms
bench.LshBenchmark.nearDuplicatesFullScan,avgt,,,1000.0,,42,0.9,12.0,146.48607142857142,,ms/op
bench.LshBenchmark.nearDuplicatesFullScan,avgt,,,3000.0,,42,0.9,12.0,1435.377708,,ms/op
bench.LshBenchmark.nearDuplicatesFullScan,thrpt,,,1000.0,,42,0.9,12.0,0.006888735723864044,,ops/ms
bench.LshBenchmark.nearDuplicatesFullScan,thrpt,,,3000.0,,42,0.9,12.0,0.0007260682023031896,,ops/ms
bench.LshBenchmark.nearDuplicatesLsh,avgt,,,1000.0,,42,0.9,12.0,10.985798913043478,,ms/op
bench.LshBenchmark.nearDuplicatesLsh,avgt,,,3000.0,,42,0.9,12.0,126.646599,,ms/op
bench.LshBenchmark.nearDuplicatesLsh,thrpt,,,1000.0,,42,0.9,12.0,0.09244801600841775,,ops/ms
bench.LshBenchmark.nearDuplicatesLsh,thrpt,,,3000.0,,42,0.9,12.0,0.007776207868332019,,ops/ms
bench.PerfectHashingBenchmark.buildIndex,avgt,,,,10000.0,42,,,309.78872634822807,,us/op
bench.PerfectHashingBenchmark.buildIndex,avgt,,,,50000.0,42,,,1575.7001569858712,,us/op
bench.PerfectHashingBenchmark.buildIndex,thrpt,,,,10000.0,42,,,0.0032399296256114857,,ops/us
bench.PerfectHashingBenchmark.buildIndex,thrpt,,,,50000.0,42,,,0.0006340412839882588,,ops/us
bench.PerfectHashingBenchmark.containsHit,avgt,,,,10000.0,42,,,0.0072199781730127805,,us/op
bench.PerfectHashingBenchmark.containsHit,avgt,,,,50000.0,42,,,0.007629879236730147,,us/op
bench.PerfectHashingBenchmark.containsHit,thrpt,,,,10000.0,42,,,139.93297164558987,,ops/us
bench.PerfectHashingBenchmark.containsHit,thrpt,,,,50000.0,42,,,130.13838520104133,,ops/us
bench.PerfectHashingBenchmark.containsMiss,avgt,,,,10000.0,42,,,0.004679778161541339,,us/op
bench.PerfectHashingBenchmark.containsMiss,avgt,,,,50000.0,42,,,0.013251434510516764,,us/op
bench.PerfectHashingBenchmark.containsMiss,thrpt,,,,10000.0,42,,,215.37837104840239,,ops/us
bench.PerfectHashingBenchmark.containsMiss,thrpt,,,,50000.0,42,,,77.2217849274258,,ops/us
bench.PerfectHashingBenchmark.getHit,avgt,,,,10000.0,42,,,0.008436637846654067,,us/op
bench.PerfectHashingBenchmark.getHit,avgt,,,,50000.0,42,,,0.008703680079479463,,us/op
bench.PerfectHashingBenchmark.getHit,thrpt,,,,10000.0,42,,,118.78799235751826,,ops/us
bench.PerfectHashingBenchmark.getHit,thrpt,,,,50000.0,42,,,117.5921555013423,,ops/us
bench.PerfectHashingBenchmark.getMiss,avgt,,,,10000.0,42,,,0.0048121423288645946,,us/op
bench.PerfectHashingBenchmark.getMiss,avgt,,,,50000.0,42,,,0.013227044633808714,,us/op
bench.PerfectHashingBenchmark.getMiss,thrpt,,,,10000.0,42,,,214.6503282473871,,ops/us
bench.PerfectHashingBenchmark.getMiss,thrpt,,,,50000.0,42,,,77.01447876718183,,ops/us
