benchmark,bench,mode,score,scoreError,ciLow,ciHigh,unit,rawCount,rawMin,rawMax,gc_alloc_rate_norm_score,gc_alloc_rate_norm_scoreError,gc_alloc_rate_norm_ciLow,gc_alloc_rate_norm_ciHigh,gc_alloc_rate_norm_unit,gc_alloc_rate_score,gc_alloc_rate_scoreError,gc_alloc_rate_ciLow,gc_alloc_rate_ciHigh,gc_alloc_rate_unit,gc_count_score,gc_count_scoreError,gc_count_ciLow,gc_count_ciHigh,gc_count_unit,gc_time_score,gc_time_scoreError,gc_time_ciLow,gc_time_ciHigh,gc_time_unit,bucketCapacity,n,seed,baseDocs,wordsPerDoc,docs,threshold
bench.PerfectHashingBenchmark.buildIndex,buildIndex,avgt,309.78872634822807,,,,us/op,1,309.78872634822807,309.78872634822807,2658744.2169491528,,,,B/op,8182.364497392956,,,,MB/sec,30.0,,30.0,30.0,counts,12.0,,12.0,12.0,ms,,10000.0,42,,,,
bench.PerfectHashingBenchmark.buildIndex,buildIndex,avgt,1575.7001569858712,,,,us/op,1,1575.7001569858712,1575.7001569858712,13120000.879120879,,,,B/op,7938.8171985406725,,,,MB/sec,19.0,,19.0,19.0,counts,14.0,,14.0,14.0,ms,,50000.0,42,,,,
bench.PerfectHashingBenchmark.buildIndex,buildIndex,thrpt,0.0032399296256114857,,,,ops/us,1,0.0032399296256114857,0.0032399296256114857,2658744.217082948,,,,B/op,8212.647778957717,,,,MB/sec,27.0,,27.0,27.0,counts,11.0,,11.0,11.0,ms,,10000.0,42,,,,
bench.PerfectHashingBenchmark.buildIndex,buildIndex,thrpt,0.0006340412839882588,,,,ops/us,1,0.0006340412839882588,0.0006340412839882588,13120000.877742946,,,,B/op,7930.270727245037,,,,MB/sec,19.0,,19.0,19.0,counts,13.0,,13.0,13.0,ms,,50000.0,42,,,,
