benchmark,bench,mode,score,scoreError,ciLow,ciHigh,unit,rawCount,rawMin,rawMax,gc_alloc_rate_norm_score,gc_alloc_rate_norm_scoreError,gc_alloc_rate_norm_ciLow,gc_alloc_rate_norm_ciHigh,gc_alloc_rate_norm_unit,gc_alloc_rate_score,gc_alloc_rate_scoreError,gc_alloc_rate_ciLow,gc_alloc_rate_ciHigh,gc_alloc_rate_unit,gc_count_score,gc_count_scoreError,gc_count_ciLow,gc_count_ciHigh,gc_count_unit,gc_time_score,gc_time_scoreError,gc_time_ciLow,gc_time_ciHigh,gc_time_unit,bucketCapacity,n,seed,baseDocs,wordsPerDoc,docs,threshold
bench.LshBenchmark.nearDuplicatesLsh,nearDuplicatesLsh,avgt,10.985798913043478,,,,ms/op,1,10.985798913043478,10.985798913043478,6847534.0869565215,,,,B/op,594.2711100909619,,,,MB/sec,4.0,,4.0,4.0,counts,2.0,,2.0,2.0,ms,,,42,,12.0,1000.0,0.9
bench.LshBenchmark.nearDuplicatesLsh,nearDuplicatesLsh,avgt,126.646599,,,,ms/op,1,126.646599,126.646599,49681886.0,,,,B/op,373.97059294479976,,,,MB/sec,4.0,,4.0,4.0,counts,40.0,,40.0,40.0,ms,,,42,,12.0,3000.0,0.9
bench.LshBenchmark.nearDuplicatesLsh,nearDuplicatesLsh,thrpt,0.09244801600841775,,,,ops/ms,1,0.09244801600841775,0.09244801600841775,6848814.021505376,,,,B/op,603.6041241418477,,,,MB/sec,4.0,,4.0,4.0,counts,2.0,,2.0,2.0,ms,,,42,,12.0,1000.0,0.9
bench.LshBenchmark.nearDuplicatesLsh,nearDuplicatesLsh,thrpt,0.007776207868332019,,,,ops/ms,1,0.007776207868332019,0.007776207868332019,49681870.0,,,,B/op,368.3455857826399,,,,MB/sec,4.0,,4.0,4.0,counts,44.0,,44.0,44.0,ms,,,42,,12.0,3000.0,0.9
