benchmark,bench,mode,score,scoreError,ciLow,ciHigh,unit,rawCount,rawMin,rawMax,gc_alloc_rate_norm_score,gc_alloc_rate_norm_scoreError,gc_alloc_rate_norm_ciLow,gc_alloc_rate_norm_ciHigh,gc_alloc_rate_norm_unit,gc_alloc_rate_score,gc_alloc_rate_scoreError,gc_alloc_rate_ciLow,gc_alloc_rate_ciHigh,gc_alloc_rate_unit,gc_count_score,gc_count_scoreError,gc_count_ciLow,gc_count_ciHigh,gc_count_unit,gc_time_score,gc_time_scoreError,gc_time_ciLow,gc_time_ciHigh,gc_time_unit,bucketCapacity,n,seed,baseDocs,wordsPerDoc,docs,threshold
bench.LshBenchmark.buildIndex,buildIndex,avgt,36.926043178571426,,,,ms/op,1,36.926043178571426,36.926043178571426,30919037.714285713,,,,B/op,798.2290656986853,,,,MB/sec,6.0,,6.0,6.0,counts,3.0,,3.0,3.0,ms,,,42,,12.0,2000.0,
bench.LshBenchmark.buildIndex,buildIndex,avgt,197.556375,,,,ms/op,1,197.556375,197.556375,152870029.33333334,,,,B/op,737.8172760157181,,,,MB/sec,5.0,,5.0,5.0,counts,8.0,,8.0,8.0,ms,,,42,,12.0,10000.0,
bench.LshBenchmark.buildIndex,buildIndex,thrpt,0.02653134480681274,,,,ops/ms,1,0.02653134480681274,0.02653134480681274,31103038.51851852,,,,B/op,786.8101356932751,,,,MB/sec,5.0,,5.0,5.0,counts,2.0,,2.0,2.0,ms,,,42,,12.0,2000.0,
bench.LshBenchmark.buildIndex,buildIndex,thrpt,0.005205141682329986,,,,ops/ms,1,0.005205141682329986,0.005205141682329986,152550029.33333334,,,,B/op,757.0182938766421,,,,MB/sec,5.0,,5.0,5.0,counts,8.0,,8.0,8.0,ms,,,42,,12.0,10000.0,
