benchmark,mode,baseDocs,bucketCapacity,docs,n,seed,threshold,wordsPerDoc,score,scoreError,unit
bench.ExtendableHashTableBenchmark.removeThenPut,thrpt,,8.0,,10000.0,42,,,0.9226671428273875,0.010781604596270757,ops/us
bench.ExtendableHashTableBenchmark.updateExisting,avgt,,2.0,,1000.0,42,,,0.01341766718989167,0.0003024100899367966,us/op
bench.ExtendableHashTableBenchmark.updateExisting,avgt,,4.0,,1000.0,42,,,0.015584092801147953,0.0009676736483858349,us/op
bench.ExtendableHashTableBenchmark.updateExisting,avgt,,8.0,,1000.0,42,,,0.017433400664005526,0.0007500292811519599,us/op
bench.ExtendableHashTableBenchmark.updateExisting,avgt,,2.0,,10000.0,42,,,0.01703610066305168,0.0003441445022429347,us/op
bench.ExtendableHashTableBenchmark.updateExisting,avgt,,4.0,,10000.0,42,,,0.017163655284307,0.00033806282754262224,us/op
bench.ExtendableHashTableBenchmark.updateExisting,avgt,,8.0,,10000.0,42,,,0.01895042892059321,0.0014246659894651104,us/op
bench.ExtendableHashTableBenchmark.updateExisting,thrpt,,2.0,,1000.0,42,,,74.95036160201708,1.2262492745065292,ops/us
bench.ExtendableHashTableBenchmark.updateExisting,thrpt,,4.0,,1000.0,42,,,66.07749637679488,5.013275281177511,ops/us
bench.ExtendableHashTableBenchmark.updateExisting,thrpt,,8.0,,1000.0,42,,,58.36191358238617,1.9004303381266747,ops/us
bench.ExtendableHashTableBenchmark.updateExisting,thrpt,,2.0,,10000.0,42,,,59.12090433721694,1.9264372217602503,ops/us
bench.ExtendableHashTableBenchmark.updateExisting,thrpt,,4.0,,10000.0,42,,,54.91199033672499,0.9249755952052249,ops/us
bench.ExtendableHashTableBenchmark.updateExisting,thrpt,,8.0,,10000.0,42,,,51.11902266173987,2.105196725806175,ops/us
bench.LshBenchmark.addDocument,avgt,5000.0,,,,42,,12.0,0.022145301415176528,0.0006020269424320426,ms/op
bench.LshBenchmark.addDocument,thrpt,5000.0,,,,42,,12.0,42.65050053954838,1.8359931383375399,ops/ms
bench.LshBenchmark.buildIndex,avgt,,,2000.0,,42,,12.0,38.79996457492878,0.6090596585323016,ms/op
bench.LshBenchmark.buildIndex,avgt,,,10000.0,,42,,12.0,198.3405792,1.1972321969036486,ms/op
bench.LshBenchmark.buildIndex,thrpt,,,2000.0,,42,,12.0,0.02677594078088357,0.0001390567856186205,ops/ms
bench.LshBenchmark.buildIndex,thrpt,,,10000.0,,42,,12.0,0.005211019019894518,2.9510542625538564e-05,ops/ms
bench.LshBenchmark.candidatesQuery,avgt,,,1000.0,,42,0.9,12.0,0.018931171967379798,0.00034334791221355017,ms/op
bench.LshBenchmark.candidatesQuery,avgt,,,3000.0,,42,0.9,12.0,0.02050337491924564,0.000256069569216541,ms/op
bench.LshBenchmark.candidatesQuery,thrpt,,,1000.0,,42,0.9,12.0,52.69268774422479,0.2995931530987162,ops/ms
bench.LshBenchmark.candidatesQuery,thrpt,,,3000.0,,42,0.9,12.0,47.60760405736445,0.5271455195330199,ops/ms
bench.LshBenchmark.nearDuplicatesFullScan,avgt,,,1000.0,,42,0.9,12.0,149.28475474285716,1.937066195452303,ms/op
bench.LshBenchmark.nearDuplicatesFullScan,avgt,,,3000.0,,42,0.9,12.0,1382.2585332000003,97.76083749026583,ms/op
bench.LshBenchmark.nearDuplicatesFullScan,thrpt,,,1000.0,,42,0.9,12.0,0.0070489634654551546,0.00031677204992236826,ops/ms
bench.LshBenchmark.nearDuplicatesFullScan,thrpt,,,3000.0,,42,0.9,12.0,0.0007056907868962993,4.089086426957616e-05,ops/ms
