benchmark,metric,mode,score,scoreError,scoreUnit,bucketCapacity,n,seed,baseDocs,wordsPerDoc,docs,threshold
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.010654282204449255,9.784455776885311e-05,us/op,8,350000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,8,350000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.010234833001800225,0.0001093870198185047,us/op,12,150000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,12,150000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.013491923457154366,0.00015052106955451235,us/op,12,200000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,12,200000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.012794226864826114,0.00018243907517915398,us/op,12,250000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,12,250000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.01086021503200827,0.00013642671542681852,us/op,12,300000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,12,300000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.013446997102559588,0.00013787854023092862,us/op,12,350000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,12,350000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.010306126492532416,0.00010457544156436791,us/op,16,150000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,16,150000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.01328214609097766,0.00011634941372453561,us/op,16,200000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,16,200000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.014423613132287015,0.0001522646453340893,us/op,16,250000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,16,250000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.01117301333025837,0.00013603180267366056,us/op,16,300000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,16,300000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.013686221239300649,0.00021248365134283602,us/op,16,350000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,16,350000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.014932135929174728,9.356436858146216e-05,us/op,24,150000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,24,150000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.019495757010136564,0.00018402282611219557,us/op,24,200000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,24,200000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.014656011597115796,0.0001643513467801713,us/op,24,250000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,24,250000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.016339621285607526,0.00011223355245049085,us/op,24,300000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,24,300000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.018682426243309652,0.0002005619201475832,us/op,24,350000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,24,350000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,39.47810292415808,1.1016284833640422,ops/us,8,80000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,8,80000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,46.21231138445909,0.8601618007228575,ops/us,8,100000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,8,100000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,43.833611318187415,1.4140876333933328,ops/us,8,140000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,8,140000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,33.22578532178091,2.5278777051072296,ops/us,8,170000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,8,170000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,39.69818331354613,3.1078385555526538,ops/us,8,200000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,8,200000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,35.140417016858336,3.329090921113828,ops/us,12,80000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,12,80000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,42.78555912848347,3.237284854720687,ops/us,12,100000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,12,100000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,31.018398591635062,2.8097447952809134,ops/us,12,140000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,12,140000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,27.523694179801623,4.898800549782534,ops/us,12,170000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,12,170000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,39.95605479189275,2.8344357204747745,ops/us,12,200000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,12,200000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,33.89215934839961,3.021391466133024,ops/us,16,80000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,16,80000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,30.051106246358007,4.630757548840412,ops/us,16,100000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,16,100000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,26.965055068103464,3.800619879052109,ops/us,16,140000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,16,140000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,28.483990921897455,4.224054860642742,ops/us,16,170000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,16,170000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,29.643680492610454,3.075295281888886,ops/us,16,200000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,16,200000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,26.37540312124935,2.5743613329854798,ops/us,24,80000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,24,80000,42,,,,
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,29.151008004019136,5.34152448712302,ops/us,24,100000,42,,,,
