benchmark,bench,mode,score,scoreError,ciLow,ciHigh,unit,rawCount,rawMin,rawMax,gc_alloc_rate_norm_score,gc_alloc_rate_norm_scoreError,gc_alloc_rate_norm_ciLow,gc_alloc_rate_norm_ciHigh,gc_alloc_rate_norm_unit,gc_alloc_rate_score,gc_alloc_rate_scoreError,gc_alloc_rate_ciLow,gc_alloc_rate_ciHigh,gc_alloc_rate_unit,gc_count_score,gc_count_scoreError,gc_count_ciLow,gc_count_ciHigh,gc_count_unit,gc_time_score,gc_time_scoreError,gc_time_ciLow,gc_time_ciHigh,gc_time_unit,bucketCapacity,n,seed,baseDocs,wordsPerDoc,docs,threshold
bench.LshBenchmark.nearDuplicatesFullScan,nearDuplicatesFullScan,avgt,149.28475474285716,1.937066195452303,147.34768854740486,151.22182093830946,ms/op,5,148.63047628571428,149.8492082857143,13987341.714285713,8.018968236985954e-09,13987341.714285705,13987341.71428572,B/op,89.34648874761726,1.1606766598627776,88.18581208775448,90.50716540748003,MB/sec,3.0,,3.0,3.0,counts,1.0,,1.0,1.0,ms,,,42,,12.0,1000.0,0.9
bench.LshBenchmark.nearDuplicatesFullScan,nearDuplicatesFullScan,avgt,1382.2585332000003,97.76083749026583,1284.4976957097344,1480.0193706902662,ms/op,5,1352.779708,1412.67175,137955720.0,0.0,137955720.0,137955720.0,B/op,95.19899135896524,6.747958918029463,88.45103244093578,101.94695027699471,MB/sec,4.0,,4.0,4.0,counts,3.0,,3.0,3.0,ms,,,42,,12.0,3000.0,0.9
bench.LshBenchmark.nearDuplicatesFullScan,nearDuplicatesFullScan,thrpt,0.0070489634654551546,0.00031677204992236826,0.006732191415532786,0.007365735515377523,ops/ms,5,0.006915597723138244,0.0071252296237731,13987333.942857143,16.728585929995273,13987317.214271212,13987350.671443073,B/op,94.01948051373196,4.225231809276721,89.79424870445524,98.24471232300868,MB/sec,3.0,,3.0,3.0,counts,2.0,,2.0,2.0,ms,,,42,,12.0,1000.0,0.9
bench.LshBenchmark.nearDuplicatesFullScan,nearDuplicatesFullScan,thrpt,0.0007056907868962993,4.089086426957616e-05,0.0006647999226267232,0.0007465816511658755,ops/ms,5,0.0006976456403974984,0.0007236891281843863,137955713.6,55.105930120827914,137955658.49406987,137955768.7059301,B/op,92.83570183779942,5.37882417842588,87.45687765937353,98.2145260162253,MB/sec,4.0,,4.0,4.0,counts,3.0,,3.0,3.0,ms,,,42,,12.0,3000.0,0.9
