benchmark,bench,mode,score,scoreError,ciLow,ciHigh,unit,rawCount,rawMin,rawMax,gc_alloc_rate_norm_score,gc_alloc_rate_norm_scoreError,gc_alloc_rate_norm_ciLow,gc_alloc_rate_norm_ciHigh,gc_alloc_rate_norm_unit,gc_alloc_rate_score,gc_alloc_rate_scoreError,gc_alloc_rate_ciLow,gc_alloc_rate_ciHigh,gc_alloc_rate_unit,gc_count_score,gc_count_scoreError,gc_count_ciLow,gc_count_ciHigh,gc_count_unit,gc_time_score,gc_time_scoreError,gc_time_ciLow,gc_time_ciHigh,gc_time_unit,bucketCapacity,n,seed,baseDocs,wordsPerDoc,docs,threshold
bench.PerfectHashingBenchmark.buildIndex,buildIndex,avgt,306.06781018615465,3.572035322313835,302.49577486384084,309.63984550846845,us/op,5,304.5967615315044,307.11769492555453,2658744.1649706294,0.002573180626678979,2658744.162397449,2658744.16754381,B/op,8283.472473693662,96.8782648797951,8186.594208813867,8380.350738573457,MB/sec,142.0,,142.0,142.0,counts,54.0,,54.0,54.0,ms,,10000.0,42,,,,
bench.PerfectHashingBenchmark.buildIndex,buildIndex,avgt,1579.8473171084952,17.94930652291669,1561.8980105855785,1597.7966236314119,us/op,5,1575.7063862928348,1587.2473846153846,13120000.85080645,0.01180092444792556,13120000.839005526,13120000.862607375,B/op,7918.944507495864,89.64599654506966,7829.2985109507945,8008.590504040933,MB/sec,110.0,,110.0,110.0,counts,103.0,,103.0,103.0,ms,,50000.0,42,,,,
bench.PerfectHashingBenchmark.buildIndex,buildIndex,thrpt,0.0032631674355647075,2.6686797835196687e-05,0.003236480637729511,0.003289854233399904,ops/us,5,0.003256046233330083,0.0032739343321687908,2658744.165078908,0.0009797672199518465,2658744.164099141,2658744.1660586754,B/op,8273.018112231428,67.63384437429951,8205.384267857129,8340.651956605727,MB/sec,142.0,,142.0,142.0,counts,53.0,,53.0,53.0,ms,,10000.0,42,,,,
bench.PerfectHashingBenchmark.buildIndex,buildIndex,thrpt,0.0006401442428765851,9.30327579538557e-06,0.0006308409670811995,0.0006494475186719707,ops/us,5,0.0006379365540407879,0.000643919886423452,13120000.843697032,0.01956347177685407,13120000.82413356,13120000.863260504,B/op,8008.613917401594,116.21802110453562,7892.395896297059,8124.8319385061295,MB/sec,98.0,,98.0,98.0,counts,46.0,,46.0,46.0,ms,,50000.0,42,,,,
