benchmark,bench,mode,score,scoreError,ciLow,ciHigh,unit,rawCount,rawMin,rawMax,gc_alloc_rate_norm_score,gc_alloc_rate_norm_scoreError,gc_alloc_rate_norm_ciLow,gc_alloc_rate_norm_ciHigh,gc_alloc_rate_norm_unit,gc_alloc_rate_score,gc_alloc_rate_scoreError,gc_alloc_rate_ciLow,gc_alloc_rate_ciHigh,gc_alloc_rate_unit,gc_count_score,gc_count_scoreError,gc_count_ciLow,gc_count_ciHigh,gc_count_unit,gc_time_score,gc_time_scoreError,gc_time_ciLow,gc_time_ciHigh,gc_time_unit,bucketCapacity,n,seed,baseDocs,wordsPerDoc,docs,threshold
bench.PerfectHashingBenchmark.containsMiss,containsMiss,avgt,0.004428639841708643,0.00030094947374324896,0.004127690367965394,0.004729589315451891,us/op,5,0.004351249550475659,0.004527672503538162,2.386172966008972e-06,1.6312264472058814e-07,2.223050321288384e-06,2.54929561072956e-06,B/op,0.0005137891188268088,1.2557876819831306e-06,0.0005125333311448257,0.000515044906508792,MB/sec,0.0,,0.0,0.0,counts,,,,,,,10000.0,42,,,,
bench.PerfectHashingBenchmark.containsMiss,containsMiss,avgt,0.011987918164945226,0.0011190408759244198,0.010868877289020806,0.013106959040869646,us/op,5,0.011663065294791358,0.01238862788443083,6.462203331181941e-06,6.116372693255163e-07,5.850566061856425e-06,7.073840600507457e-06,B/op,0.0005140235138344185,2.6434759015025865e-06,0.000511380037932916,0.0005166669897359211,MB/sec,0.0,,0.0,0.0,counts,,,,,,,50000.0,42,,,,
bench.PerfectHashingBenchmark.containsMiss,containsMiss,thrpt,222.9820801395997,17.007353013826826,205.9747271257729,239.98943315342652,ops/us,5,219.74987500581656,230.58365576582406,2.425826931179271e-06,1.6112488002270416e-07,2.264702051156567e-06,2.5869518112019748e-06,B/op,0.0005156607700479546,5.574447692965172e-06,0.0005100863223549894,0.0005212352177409198,MB/sec,0.0,,0.0,0.0,counts,,,,,,,10000.0,42,,,,
bench.PerfectHashingBenchmark.containsMiss,containsMiss,thrpt,84.80634845818834,5.621319845874044,79.1850286123143,90.42766830406238,ops/us,5,82.5944667439347,86.57890246398719,6.369586063860409e-06,4.757067586562424e-07,5.8938793052041665e-06,6.845292822516652e-06,B/op,0.0005149669936722953,7.454100441098053e-06,0.0005075128932311972,0.0005224210941133934,MB/sec,0.0,,0.0,0.0,counts,,,,,,,50000.0,42,,,,
