benchmark,bench,mode,score,scoreError,ciLow,ciHigh,unit,rawCount,rawMin,rawMax,gc_alloc_rate_norm_score,gc_alloc_rate_norm_scoreError,gc_alloc_rate_norm_ciLow,gc_alloc_rate_norm_ciHigh,gc_alloc_rate_norm_unit,gc_alloc_rate_score,gc_alloc_rate_scoreError,gc_alloc_rate_ciLow,gc_alloc_rate_ciHigh,gc_alloc_rate_unit,gc_count_score,gc_count_scoreError,gc_count_ciLow,gc_count_ciHigh,gc_count_unit,gc_time_score,gc_time_scoreError,gc_time_ciLow,gc_time_ciHigh,gc_time_unit,bucketCapacity,n,seed,baseDocs,wordsPerDoc,docs,threshold
bench.ExtendableHashTableBenchmark.getMiss,getMiss,avgt,0.004964731011655966,2.556891924318007e-05,0.004939162092412786,0.004990299930899146,us/op,5,0.004954059576456022,0.004970653383432761,3.3609508009825895e-06,5.849945275625323e-06,-2.488994474642733e-06,9.210896076607912e-06,B/op,0.0006452371449080811,0.0011197027063810773,-0.0004744655614729962,0.0017649398512891584,MB/sec,0.0,,0.0,0.0,counts,,,,,,2.0,1000.0,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,getMiss,avgt,0.006246898749643338,0.00010046212314020526,0.006146436626503132,0.006347360872783543,us/op,5,0.0062086405273611926,0.006274812776874124,4.213737720227376e-06,7.296918435425999e-06,-3.0831807151986225e-06,1.1510656155653374e-05,B/op,0.000642688577077405,0.0011117657477614153,-0.00046907717068401026,0.0017544543248388202,MB/sec,0.0,,0.0,0.0,counts,,,,,,4.0,1000.0,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,getMiss,avgt,0.009223131995787543,0.00010128203336885074,0.009121849962418693,0.009324414029156394,us/op,5,0.009195771076797535,0.009254356523928529,6.223502872138733e-06,1.0753766156425888e-05,-4.530263284287155e-06,1.697726902856462e-05,B/op,0.0006430662739394978,0.0011116201117836227,-0.00046855383784412494,0.0017546863857231206,MB/sec,0.0,,0.0,0.0,counts,,,,,,8.0,1000.0,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,getMiss,avgt,0.006819690723037089,0.0005647469161183592,0.00625494380691873,0.007384437639155448,us/op,5,0.00665507501637894,0.006948804603624512,4.58991086397884e-06,7.598217165891113e-06,-3.0083063019122735e-06,1.2188128029869952e-05,B/op,0.0006442030744852171,0.0011095243536916215,-0.0004653212792064044,0.0017537274281768387,MB/sec,0.0,,0.0,0.0,counts,,,,,,2.0,10000.0,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,getMiss,avgt,0.00822590420791,0.0006506030765524364,0.007575301131357562,0.008876507284462435,us/op,5,0.008058646456525376,0.008429877043310186,5.594047255085685e-06,1.0124713126534056e-05,-4.530665871448371e-06,1.571876038161974e-05,B/op,0.0006462219416265482,0.0011360653239144319,-0.0004898433822878836,0.00178228726554098,MB/sec,0.0,,0.0,0.0,counts,,,,,,4.0,10000.0,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,getMiss,avgt,0.011185393068774101,0.0003929893785271936,0.010792403690246907,0.011578382447301295,us/op,5,0.011081052754210542,0.011306391112621784,7.5469047216926055e-06,1.2850260266901009e-05,-5.303355545208403e-06,2.0397164988593613e-05,B/op,0.000644009143442597,0.0011111742483235266,-0.00046716510488092964,0.0017551833917661235,MB/sec,0.0,,0.0,0.0,counts,,,,,,8.0,10000.0,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,getMiss,thrpt,202.65180160277595,3.063713904736281,199.58808769803966,205.71551550751224,ops/us,5,201.67919132364727,203.8246079715712,3.3509275792639805e-06,5.870550008197618e-06,-2.5196224289336374e-06,9.221477587461598e-06,B/op,0.0006462972460398659,0.0011184255305837706,-0.00047212828454390476,0.0017647227766236365,MB/sec,0.0,,0.0,0.0,counts,,,,,,2.0,1000.0,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,getMiss,thrpt,160.61777939804722,3.487628750346602,157.13015064770062,164.10540814839382,ops/us,5,159.61304662115583,161.58173400182295,4.231113159096418e-06,7.4242356857517915e-06,-3.1931225266553737e-06,1.165534884484821e-05,B/op,0.0006470104746216694,0.0011216557992570063,-0.00047464532463533694,0.0017686662738786757,MB/sec,0.0,,0.0,0.0,counts,,,,,,4.0,1000.0,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,getMiss,thrpt,108.71209962810102,1.372389747323774,107.33970988077724,110.0844893754248,ops/us,5,108.10483685809865,109.00273782533314,6.234828429272203e-06,1.0785781389474413e-05,-4.55095296020221e-06,1.7020609818746616e-05,B/op,0.0006459557031009073,0.0011179690555599571,-0.00047201335245904987,0.0017639247586608644,MB/sec,0.0,,0.0,0.0,counts,,,,,,8.0,1000.0,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,getMiss,thrpt,150.577891889182,10.19514516012523,140.38274672905678,160.77303704930725,ops/us,5,147.00466214585072,152.99760516637195,4.5186367968386595e-06,8.042546344127706e-06,-3.523909547289047e-06,1.2561183140966365e-05,B/op,0.0006461187867327605,0.0011171610553175643,-0.0004710422685848038,0.0017632798420503248,MB/sec,0.0,,0.0,0.0,counts,,,,,,2.0,10000.0,42,,,,
